CMI;renda
19.10828025;273.98
9.049773756;240.5
15.8446205;622.27
14.7275405;247.36
13.17122594;250.2
16.91474966;320.97
11.56069364;386.99
11.83431953;293.24
12.62878033;313.91
20.83333333;281.57
13.36898396;236.21
20.33898305;242.49
20.59925094;338.17
18.84852639;517.6
16.45338208;269.34
11.33863598;833.82
16.12903226;307.91
16.54846336;287.83
17.05426357;233.04
10.26894866;413.22
6.349206349;293.24
25.97402597;266.3
29.23976608;356.23
0;296.85
5.899705015;264.57
0;287.85
10.6557377;357.39
14.30143014;263.5
7.207207207;398.69
11.96581197;395.06
13.84615385;202.4
15.84507042;271.68
8.771929825;393.59
18.93287435;304.68
10.78167116;306.42
7.130124777;257.66
24.69135802;234.81
19.13875598;266.39
9.884678748;189.97
11.47227533;211.63
16.30434783;253.91
18.61993428;298.1
11.84433164;445.31
15.04297994;333.5
15.15151515;169.91
4.914004914;298.51
25.30674847;299.14
9.132420091;245.39
11.28668172;291.02
15.15151515;212.54
4.975124378;267.3
20.71251036;226.63
11.55327343;237.11
19.3236715;286.4
8.042895442;256.16
4.115226337;388.18
16.03665521;226.42
14.60500111;358.81
16.00609756;448.18
6.557377049;281.93
15.49053356;277.98
17.40812379;289.72
9.055627426;294.29
3.300330033;348.42
9.489916963;244.33
15.56970984;277.5
0;255.44
17.16410309;590.33
12.87156524;921.29
16.64684899;329.62
11.13818308;307.22
4.405286344;285.45
10;347.54
0;213.89
16.06425703;292.71
12.72264631;232.63
18.10500905;386.68
11.60092807;236.42
21.11801242;258.3
10.15228426;237.92
9.888751545;326.35
13.93728223;239.78
14.42091032;499.05
16.94915254;206.95
10.3626943;215.3
11.36363636;286.67
15.00441306;257.19
16.2962963;389.39
0;259.42
9.483667018;258.72
6.688963211;295.32
20.58823529;255.05
